iter	Passed	Remaining
0	1	112
1	2	104
2	3	101
3	9	223
4	10	193
5	11	172
6	11	157
7	12	145
8	13	136
9	14	129
10	17	137
11	17	131
12	18	125
13	22	135
14	23	130
15	23	125
16	24	120
17	25	117
18	26	113
19	27	110
20	28	106
21	29	102
22	29	99
23	30	96
24	31	93
25	32	91
26	32	88
27	34	88
28	38	93
29	39	92
30	41	92
31	43	92
32	44	89
33	45	87
34	45	85
35	46	83
36	47	81
37	48	78
38	49	77
39	53	79
40	53	77
41	54	74
42	55	72
43	56	71
44	56	69
45	57	67
46	58	66
47	59	64
48	60	63
49	62	62
50	64	61
51	65	60
52	66	58
53	67	57
54	67	55
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	72	46
61	73	45
62	74	43
63	75	42
64	76	41
65	77	40
66	81	40
67	82	38
68	83	37
69	84	36
70	86	35
71	87	34
72	88	32
73	89	31
74	90	30
75	90	28
76	91	27
77	94	26
78	98	26
79	98	24
80	99	23
81	100	22
82	101	20
83	102	19
84	102	18
85	104	17
86	105	15
87	106	14
88	110	13
89	111	12
90	112	11
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	117	3
97	118	2
98	119	1
99	120	0
