iter	Passed	Remaining
0	103	103874
1	105	52677
2	108	35960
3	109	27283
4	111	22147
5	115	19053
6	122	17414
7	131	16344
8	141	15550
9	159	15741
10	167	15042
11	173	14279
12	183	13899
13	184	12998
14	186	12216
15	187	11522
16	188	10908
17	189	10365
18	192	9930
19	193	9486
20	195	9097
21	196	8742
22	198	8418
23	214	8709
24	216	8439
25	218	8197
26	227	8198
27	231	8038
28	241	8085
29	268	8692
30	279	8728
31	289	8765
32	294	8618
33	300	8523
34	309	8543
35	313	8403
36	316	8244
37	325	8239
38	332	8185
39	343	8242
40	349	8186
41	351	8022
42	353	7863
43	362	7868
44	371	7880
45	377	7820
46	384	7788
47	386	7662
48	387	7528
49	389	7395
50	390	7267
51	393	7165
52	394	7056
53	396	6943
54	397	6834
55	399	6731
56	401	6635
57	402	6541
58	404	6454
59	414	6488
60	417	6427
61	420	6366
62	430	6396
63	435	6363
64	441	6350
65	445	6309
66	448	6242
67	450	6177
68	452	6107
69	458	6094
70	468	6127
71	475	6133
72	482	6128
73	493	6179
74	509	6277
75	511	6216
76	517	6202
77	526	6225
78	529	6174
79	539	6207
80	545	6184
81	549	6154
82	555	6135
83	562	6135
84	570	6139
85	573	6092
86	582	6113
87	588	6102
88	590	6047
89	602	6089
90	617	6170
91	630	6218
92	636	6208
93	650	6273
94	662	6313
95	668	6294
96	676	6299
97	680	6265
98	692	6303
99	697	6275
100	709	6317
101	725	6387
102	729	6349
103	738	6363
104	745	6356
105	756	6379
106	762	6360
107	769	6357
108	775	6338
109	787	6372
110	791	6335
111	801	6352
112	825	6477
113	833	6478
114	836	6441
115	849	6475
116	857	6470
117	866	6474
118	867	6423
119	869	6373
120	870	6324
121	880	6338
122	882	6290
123	884	6246
124	888	6220
125	898	6235
126	905	6221
127	914	6230
128	918	6200
129	924	6190
130	928	6156
131	930	6119
132	933	6085
133	940	6077
134	944	6049
135	946	6014
136	949	5984
137	955	5968
138	971	6015
139	973	5980
140	978	5958
141	979	5920
142	986	5913
143	990	5888
144	992	5853
145	998	5839
146	1002	5819
147	1005	5787
148	1008	5761
149	1017	5763
150	1022	5748
151	1025	5718
152	1032	5714
153	1033	5679
154	1038	5661
155	1048	5671
156	1055	5665
157	1058	5643
158	1060	5609
159	1062	5578
160	1063	5542
161	1094	5664
162	1097	5636
163	1099	5603
164	1100	5570
165	1106	5560
166	1109	5535
167	1113	5514
168	1118	5497
169	1120	5470
170	1123	5444
171	1126	5424
172	1128	5396
173	1134	5385
174	1137	5361
175	1139	5335
176	1209	5623
177	1214	5609
178	1217	5581
179	1222	5568
180	1223	5537
181	1227	5516
182	1234	5511
183	1236	5483
184	1243	5476
185	1249	5469
186	1259	5474
187	1266	5470
188	1269	5447
189	1270	5417
190	1277	5412
191	1328	5589
192	1335	5583
193	1344	5585
194	1350	5576
195	1359	5575
196	1364	5561
197	1366	5533
198	1398	5627
199	1403	5614
200	1406	5592
201	1409	5568
202	1411	5542
203	1413	5516
204	1420	5509
205	1468	5658
206	1474	5649
207	1479	5634
208	1482	5610
209	1483	5582
